Run,Total Cost,Total Plan
0,17.291247626105736,"[0.0, 0.0, 8.0, 60.0, 0.0, 0.0, 32.0, 0.0, 32.0, 22.0, 12.0, 0.0, 0.0, 0.0, 6.0, 8.0, 8.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 14.0, 24.0, 32.0, 24.0, 0.0, 38.0, 0.0, 0.0, 26.0, 0.0, 0.0, 0.0, 8.0, 32.0, 12.0, 30.0, 26.0, 18.0, 12.0, 48.0, 48.0, 38.0, 0.0, 0.0, 0.0, 12.0, 18.0, 40.0, 0.0, 18.0, 8.0, 0.0, 0.0, 0.0, 0.0, 18.0, 8.0, 0.0, 0.0]"
1,17.576783942620914,"[0.0, 0.0, 14.0, 24.0, 0.0, 0.0, 0.0, 12.0, 8.0, 44.0, 20.0, 0.0, 0.0, 16.0, 20.0, 28.0, 0.0, 24.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 26.0, 0.0, 24.0, 24.0, 8.0, 6.0, 6.0, 6.0, 20.0, 8.0, 0.0, 0.0, 0.0, 8.0, 28.0, 12.0, 0.0, 20.0, 36.0, 36.0, 20.0, 8.0, 24.0, 0.0, 0.0, 26.0, 24.0, 8.0, 22.0, 0.0, 32.0, 82.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.0, 8.0, 0.0]"
2,15.59630837954388,"[0.0, 0.0, 48.0, 24.0, 0.0, 0.0, 20.0, 24.0, 24.0, 60.0, 0.0, 0.0, 0.0, 16.0, 12.0, 0.0, 0.0, 24.0, 0.0, 0.0, 0.0, 0.0, 0.0, 48.0, 32.0, 0.0, 12.0, 24.0, 0.0, 24.0, 48.0, 0.0, 0.0, 24.0, 0.0, 0.0, 0.0, 32.0, 24.0, 12.0, 20.0, 8.0, 12.0, 0.0, 36.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 12.0, 24.0, 0.0, 20.0, 36.0, 0.0, 0.0, 0.0, 0.0, 0.0, 56.0, 0.0, 0.0]"
3,17.914621641877257,"[0.0, 0.0, 18.0, 32.0, 0.0, 0.0, 0.0, 0.0, 24.0, 12.0, 18.0, 0.0, 0.0, 6.0, 48.0, 20.0, 6.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.0, 8.0, 24.0, 0.0, 26.0, 24.0, 8.0, 6.0, 24.0, 0.0, 24.0, 0.0, 0.0, 0.0, 50.0, 72.0, 0.0, 32.0, 12.0, 26.0, 18.0, 12.0, 8.0, 0.0, 0.0, 0.0, 6.0, 14.0, 14.0, 58.0, 0.0, 32.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.0, 0.0]"
4,16.214805979481362,"[0.0, 0.0, 24.0, 0.0, 0.0, 0.0, 12.0, 0.0, 0.0, 58.0, 16.0, 0.0, 0.0, 48.0, 30.0, 24.0, 0.0, 36.0, 0.0, 0.0, 0.0, 0.0, 0.0, 28.0, 0.0, 24.0, 26.0, 0.0, 36.0, 52.0, 18.0, 0.0, 0.0, 30.0, 0.0, 0.0, 0.0, 0.0, 24.0, 18.0, 56.0, 0.0, 48.0, 0.0, 26.0, 6.0, 6.0, 0.0, 0.0, 12.0, 30.0, 14.0, 6.0, 0.0, 14.0, 20.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 20.0, 0.0]"
5,17.10688765218307,"[0.0, 0.0, 48.0, 0.0, 0.0, 0.0, 40.0, 0.0, 8.0, 6.0, 24.0, 0.0, 0.0, 20.0, 6.0, 16.0, 44.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.0, 32.0, 34.0, 44.0, 16.0, 24.0, 0.0, 8.0, 24.0, 0.0, 36.0, 0.0, 0.0, 0.0, 24.0, 8.0, 12.0, 20.0, 0.0, 8.0, 0.0, 36.0, 44.0, 8.0, 0.0, 0.0, 18.0, 24.0, 12.0, 8.0, 0.0, 24.0, 32.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 24.0, 0.0]"
6,16.555684418860608,"[0.0, 0.0, 8.0, 12.0, 0.0, 0.0, 38.0, 8.0, 50.0, 12.0, 8.0, 0.0, 0.0, 44.0, 20.0, 56.0, 0.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 6.0, 12.0, 40.0, 16.0, 24.0, 8.0, 66.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 12.0, 8.0, 44.0, 0.0, 30.0, 22.0, 6.0, 8.0, 0.0, 0.0, 6.0, 8.0, 44.0, 12.0, 0.0, 24.0, 8.0, 0.0, 0.0, 0.0, 0.0, 20.0, 32.0, 12.0, 0.0]"
7,16.797064129749064,"[0.0, 0.0, 0.0, 12.0, 0.0, 0.0, 16.0, 0.0, 6.0, 32.0, 48.0, 0.0, 0.0, 12.0, 0.0, 12.0, 8.0, 30.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 6.0, 34.0, 8.0, 24.0, 24.0, 8.0, 12.0, 30.0, 0.0, 28.0, 0.0, 0.0, 0.0, 12.0, 12.0, 0.0, 12.0, 28.0, 66.0, 14.0, 22.0, 28.0, 12.0, 0.0, 0.0, 0.0, 40.0, 32.0, 24.0, 0.0, 36.0, 12.0, 0.0, 0.0, 0.0, 0.0, 24.0, 12.0, 16.0, 8.0]"
8,16.522817964374006,"[0.0, 0.0, 0.0, 32.0, 0.0, 0.0, 12.0, 0.0, 0.0, 16.0, 20.0, 0.0, 0.0, 6.0, 16.0, 0.0, 14.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 68.0, 0.0, 8.0, 24.0, 48.0, 46.0, 40.0, 8.0, 0.0, 0.0, 46.0, 0.0, 0.0, 0.0, 0.0, 36.0, 12.0, 8.0, 24.0, 12.0, 44.0, 46.0, 12.0, 8.0, 0.0, 0.0, 0.0, 30.0, 36.0, 0.0, 0.0, 12.0, 24.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 24.0, 24.0]"
9,16.20679245498779,"[0.0, 0.0, 36.0, 20.0, 0.0, 0.0, 20.0, 8.0, 0.0, 26.0, 8.0, 0.0, 0.0, 24.0, 24.0, 40.0, 20.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 32.0, 0.0, 24.0, 24.0, 36.0, 24.0, 74.0, 48.0, 12.0, 8.0, 14.0, 0.0, 0.0, 0.0, 36.0, 20.0, 8.0, 8.0, 8.0, 8.0, 36.0, 0.0, 8.0, 16.0, 0.0, 0.0, 0.0, 24.0, 8.0, 8.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 12.0, 8.0]"
