Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31
0,0,35,58,2,32,13,40,18,24,75,78,65,43,63,68,63,20,13,21,9,48,34,35,14,59,22,27,70,17,31,14,16,72
0,1,35,58,2,32,13,40,18,24,75,21,15,71,77,68,63,20,13,21,9,48,34,52,34,59,22,27,70,49,31,14,46,66
0,2,35,58,68,65,11,40,65,74,30,21,15,71,77,68,63,20,13,28,59,68,78,52,34,59,22,77,70,49,31,30,46,66
0,3,35,58,68,65,11,40,65,74,30,22,15,71,77,68,63,20,74,28,59,68,78,52,34,59,22,77,70,49,71,30,68,66
0,4,35,58,68,65,11,40,70,49,30,22,15,71,77,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,71,68,66
0,5,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,71,68,66
0,6,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,7,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,8,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,9,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,10,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,11,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,12,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,13,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,14,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,15,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,16,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,17,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,18,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,19,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,20,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,21,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,22,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,23,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,24,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,25,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,26,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,27,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,28,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,29,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,30,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,31,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,32,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,33,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,34,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,35,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,36,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,37,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,38,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
0,39,35,58,68,65,11,40,70,49,30,22,15,71,68,68,63,20,74,28,59,79,78,52,34,59,22,77,70,49,71,52,68,66
1,0,70,35,1,76,62,53,46,63,36,51,15,17,69,43,10,70,29,3,58,33,78,30,46,30,1,48,29,74,55,75,69,12
